px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
87.0047	23.4698	1.43968	-0.403116	-0.0810102	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.51016
87.0906	23.4987	1.47794	-0.366864	-0.0630413	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.42442
88.7195	22.8155	1.71833	-0.417904	-0.0522752	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.03274
88.666	22.794	1.66801	-0.463009	-0.086391	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.797977
89.6512	22.2465	1.29226	-0.550203	-0.0988082	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	4.91211
89.672	22.2529	1.29242	-0.547417	-0.10192	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.380806
90.5651	21.6413	1.15725	-0.648063	-0.104948	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.613995
90.6443	21.669	1.22173	-0.571437	-0.0499448	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.75786
91.6988	21.098	1.22401	-0.519268	0.00166042	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.1701
91.7602	21.1159	1.24523	-0.486308	0.0148212	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.846
92.8629	20.894	1.14287	-0.222034	0.136684	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.06567
92.9198	20.9152	1.14001	-0.196698	0.142288	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.48821
93.6112	20.3008	0.904989	-0.51043	-0.0772525	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	5.63265
93.6485	20.3161	0.951746	-0.4784	-0.0539789	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.461146
95.098	19.7034	1.44354	-0.396159	0.0289023	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.10865
94.975	19.6616	1.31693	-0.534558	-0.062241	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.06498
95.6683	19.575	0.834089	-0.353718	0.0379536	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	7.94729
95.6671	19.572	0.848507	-0.351904	0.041414	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0911495
96.3117	19.1885	0.785657	-0.458482	-0.0289511	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.560479
96.3486	19.1967	0.825484	-0.427838	-0.0093792	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.417531
97.4083	18.7541	1.0928	-0.387629	0.0180227	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.63088
97.4059	18.751	1.08405	-0.397729	0.0107522	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0639574
98.2505	18.3661	0.998008	-0.410098	-0.000982232	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.28488
98.2621	18.3675	0.992408	-0.411805	-0.0057573	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.210576
99.0536	17.4574	1.08942	-0.884319	-0.219234	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.83584
99.0692	17.4916	1.12487	-0.78669	-0.140477	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.43714
99.9581	16.9373	1.07598	-0.644145	-0.00743359	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.1115
100.038	16.9548	1.11337	-0.579552	0.0266881	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.13168
101.145	16.5164	1.17535	-0.348916	0.124243	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.828561
101.134	16.516	1.14752	-0.365166	0.110209	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.143714
102.34	16.3693	1.20153	-0.0513483	0.20698	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.719234
102.272	16.3592	1.12508	-0.0856377	0.186359	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.33349
103.104	15.5003	0.965017	-0.656216	-0.168448	103.003	15.353	103.119	15.4967	1.11708	-0.508169	8.2067
103.072	15.5255	0.993465	-0.592334	-0.111951	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.75189
104.049	15.215	1.02801	-0.37631	0.0449954	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.63021
104.047	15.2116	1.07926	-0.353762	0.0657969	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.22611
105.401	14.5159	1.44072	-0.473209	-0.020075	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	4.59988
105.379	14.5118	1.42854	-0.481604	-0.0227188	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.247118
106.781	14.0333	1.49066	-0.321617	0.0668129	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.657123
106.741	14.0255	1.4818	-0.333548	0.0647282	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.988971
108.094	13.6513	1.45107	-0.234607	0.0818176	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0425714
108.113	13.6551	1.48864	-0.219317	0.0952115	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.179733
109.538	13.5518	1.466	-0.0218624	0.147085	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.14701
109.51	13.5462	1.45297	-0.0287611	0.144145	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.385553
111.036	12.6997	1.52961	-0.529505	-0.181603	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	5.54766
111.124	12.7442	1.6496	-0.459225	-0.122143	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.71292
112.84	12.4356	1.70836	-0.191095	0.0832019	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.55219
112.853	12.4364	1.74191	-0.180617	0.0922241	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.171589
114.736	12.519	1.84666	0.128046	0.204277	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.26011
114.757	12.5234	1.85391	0.133219	0.206762	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.252546
116.672	12.1808	1.86083	-0.128896	-0.0416527	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	3.00919
